2016-09-30 12:16:17,579 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:PC308393-64980-1475217977251-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-09-30 12:16:17,766 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-09-30 12:16:18,216 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-09-30 12:16:18,419 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-09-30 12:16:18,699 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-09-30 12:16:18,793 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2016-09-30 12:16:18,840 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2016-09-30 12:16:18,949 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2016-09-30 12:28:23,612 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:65008
2016-09-30 12:31:24,843 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:65353
2016-09-30 12:32:02,899 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | qtp10330637-25
2016-09-30 12:34:37,220 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1ebcae2: startup date [Fri Sep 30 12:34:37 IST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-30 12:34:37,741 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-09-30 12:34:37,745 | INFO  | PListStore:D:\Softwares\apache-activemq-5.5.1\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-09-30 12:34:37,758 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Softwares\apache-activemq-5.5.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-30 12:34:38,377 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 12:34:38,452 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 12:34:38,458 | INFO  | Recovery replayed 3 operations from the journal in 0.069 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 12:34:38,485 | INFO  | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-30 12:34:38,486 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-30 12:34:38,684 | INFO  | Listening for connections at: tcp://PC308393:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-30 12:34:38,684 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-09-30 12:34:38,684 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:PC308393-65507-1475219078496-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-09-30 12:34:38,731 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-09-30 12:34:38,856 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-09-30 12:34:38,918 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-09-30 12:34:39,012 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-09-30 12:34:39,058 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2016-09-30 12:34:39,074 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2016-09-30 12:34:39,090 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2016-09-30 12:38:27,642 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:49177
